  Code File: MN_4000.txt
  MaxInteration: 10	Start: 2  Stop: 3  Step: 0.1
  Modulation Type:  0  Decoder Algorithm:  0

  SNR            BER            FER      ErrB      ErrF     TestF
    2  1.621951e-003  3.658537e-001       532        30        82     6.833 s
  2.1  4.843750e-004  2.678571e-001       217        30       112     9.001 s
  2.2  1.966102e-004  1.016949e-001       232        30       295    22.683 s
  2.3  3.150000e-005  2.700000e-002       126        27      1000    73.122 s
  2.4  2.500000e-006  5.000000e-003        10         5      1000    68.577 s
  2.5  2.500000e-006  3.000000e-003        10         3      1000    64.912 s
  2.6  1.000000e-006  3.000000e-003         4         3      1000    62.696 s
  2.7  0.000000e+000  0.000000e+000         0         0      1000     60.92 s
  2.8  0.000000e+000  0.000000e+000         0         0      1000    57.579 s
  2.9  0.000000e+000  0.000000e+000         0         0      1000    53.992 s
    3  0.000000e+000  0.000000e+000         0         0      1000    54.849 s

